25133	Masses	50000001	Masses
25134	Requiems	50000002	Requiems
25137	Litanies	50000004	Litanies
25138	Konzertstücke	50000005	Konzertstücke
25139	Passacaglias	50000006	Passacaglias
25140	Pasticcios	50000007	Pasticcios
25141	Melodramas	50000008	Melodramas
25143	Operettas	50000010	Operettas
25145	Hours of the Office	50000012	Hours of the Office
25148	Stage music	50000014	Stage music
25149	Vespers	50000015	Vespers
25150	Introits	50000016	Introits
25151	Communions	50000017	Communions
25156	Tracts	50000018	Tracts
25157	Improperia	50000019	Improperia
25158	Movements	50000020	Movements
25159	Funeral music	50000021	Funeral music
25160	Operas	50000022	Operas
25161	Concerti grossi	50000023	Concerti grossi
25162	Divertimentos	50000024	Divertimentos
25167	Duets (voc.)	50000025	Duets (voc.)
25169	Fugues (voc.)	50000026	Fugues (voc.)
25170	Symphonies concertantes	50000027	Symphonies concertantes
25171	Solfeggios (voc.)	50000028	Solfeggios (voc.)
25172	Ballets	50000029	Ballets
25175	Glees	50000032	Glees
25176	Concertos	50000033	Concertos
25178	Dances	50000034	Dances
25185	Fantasies	50000038	Fantasies
25188	Incidental music	50000040	Incidental music
25189	Marches	50000041	Marches
25192	Minuets	50000042	Minuets
25196	Overtures	50000045	Overtures
25199	Partitas	50000046	Partitas
25202	Postludes	50000048	Postludes
25203	Polonaises	50000049	Polonaises
25204	Preludes	50000050	Preludes
25213	Sonatas	50000059	Sonatas
25214	Suites	50000060	Suites
25215	Symphonies	50000061	Symphonies
25216	Toccatas	50000062	Toccatas
25218	Variations	50000064	Variations
25220	Waltzes	50000066	Waltzes
25224	Arias (voc.)	50000068	Arias (voc.)
25226	Cantatas	50000070	Cantatas
25227	Lieder	50000071	Lieder
25229	Liederspiele	50000072	Liederspiele
25230	Oratorios	50000073	Oratorios
25233	Songs	50000075	Songs
25234	Anthems	50000076	Anthems
25237	Chorales	50000078	Chorales
25238	Hymns	50000079	Hymns
25239	Graduals	50000080	Graduals
25240	Motets	50000081	Motets
25241	Lamentations	50000082	Lamentations
25242	Offertories	50000083	Offertories
25243	Instrumental pieces	50000084	Instrumental pieces
25244	Terzets (voc.)	50000085	Terzets (voc.)
25246	Passions	50000086	Passions
25248	Responsories	50000088	Responsories
25249	Sequences	50000089	Sequences
25250	Sacred songs	50000090	Sacred songs
25252	Character pieces	50000091	Character pieces
25254	Chorale arrangements	50000092	Chorale arrangements
25256	Serenatas	50000093	Serenatas
25257	Madrigals	50000094	Madrigals
25258	Canzoni (voc.)	50000095	Canzoni (voc.)
25259	Recitatives	50000096	Recitatives
25260	Festive music	50000097	Festive music
25262	Programme music	50000099	Programme music
25264	Pantomimes	50000100	Pantomimes
25268	Symphonic poems	50000104	Symphonic poems
25270	Cavatinas	50000105	Cavatinas
25271	Scenes	50000106	Scenes
25272	National anthems	50000107	National anthems
25273	Notturni (voc.)	50000108	Notturni (voc.)
25274	Pieces	50000109	Pieces
25275	Vocal pieces	50000110	Vocal pieces
25276	Fanfares	50000111	Fanfares
25278	Chansons	50000113	Chansons
25280	Ballad operas	50000114	Ballad operas
25285	Entr'actes	50000118	Entr'actes
25286	Gigues	50000119	Gigues
25297	Tarantellas	50000122	Tarantellas
25302	Tambourins	50000124	Tambourins
25309	Courantes	50000128	Courantes
25313	Folk songs	50000130	Folk songs
25315	Canzonettas	50000131	Canzonettas
25316	Sarabandes	50000132	Sarabandes
25318	Inventions	50000133	Inventions
25319	Exercises (voc.)	50000134	Exercises (voc.)
25320	Services	50000135	Services
25327	Allemandes	50000140	Allemandes
25329	Possen	50000141	Possen
25338	Quodlibets	50000149	Quodlibets
25343	Parodies	50000150	Parodies
25362	Sacred concerts (voc.)	50000161	Sacred concerts (voc.)
25365	Lamentos	50000162	Lamentos
25366	Odes	50000163	Odes
25367	Couplets	50000164	Couplets
25368	Vaudevilles	50000165	Vaudevilles
25370	Intradas	50000167	Intradas
25377	Contredanses	50000168	Contredanses
25379	Canaries	50000169	Canaries
25384	Bourrées	50000171	Bourrées
25390	Galliards	50000172	Galliards
25395	Gavottes	50000173	Gavottes
25404	Ländler	50000179	Ländler
